name,company,director,genre,id
Elvira: Mistress of the Dark,NBC Productions,James Signorelli,Comedy,05n8G0gNsHQCLFSEHFM6
The Texas Chainsaw Massacre 2,Cannon Films,Tobe Hooper,Comedy,07Qaa1B9ajpGI7H68QRe
La Bamba,Columbia Pictures Corporation,Luis Valdez,Biography,0AAk1ROg4KotQvm7nvp4
Fire Birds,Nova International Films,David Green,Action,0D2jC5DtfswkbXWMlpSx
Kickboxer,Kings Road Entertainment,Mark DiSalle,Action,0DknIAOgpyjiUlz0x9oa
Sacrifice,Svenska Filminstitutet (SFI),Andrei Tarkovsky,Drama,0IDlZYaR07uFYDtxmBXo
The Seventh Sign,TriStar Pictures,Carl Schultz,Drama,0IM0RHeoyGwGnJHfFUP3
The Rosary Murders,First Take,Fred Walton,Crime,0IczH8klIuqfSY6goQXf
Born on the Fourth of July,Ixtlan,Oliver Stone,Biography,0M0GiLWbjWYAeIruQuS0
Eliminators,Empire Pictures,Peter Manoogian,Action,0S6ylDfWXS5SuiSRnrX1
The Running Man,Braveworld Productions,Paul Michael Glaser,Action,0XUD9lMivNK6jQx5lg75
That's Life!,Blake Edwards,Blake Edwards,Comedy,0Yznhi7wtdgwneoC4dD7
Iron Eagle II,Carolco Pictures,Sidney J. Furie,Action,0ZbfF3fKZED4SAjLQ0zw
Batman,Warner Bros.,Tim Burton,Action,0cuJpssxzW68Ahrkp1nZ
Poltergeist III,Metro-Goldwyn-Mayer (MGM),Gary Sherman,Horror,0dzBgtSnQqXT9rgNKhDK
Ghost,Paramount Pictures,Jerry Zucker,Drama,0eGJlPLhoLA67NAeIt8O
Pelle the Conqueror,Per Holst Filmproduktion,Bille August,Drama,0iBofptL9ZUqORhXwrrf
She's Gotta Have It,40 Acres & A Mule Filmworks,Spike Lee,Comedy,0iOjz4htEhJgkiqI6a0m
Blind Date,TriStar Pictures,Blake Edwards,Comedy,0ilaHTgtO8bqhrAIJQxg
Native Son,American Playhouse,Jerrold Freedman,Drama,0pSRrrmYKjuqtUZiSkxW
The Boy Who Could Fly,Lorimar Productions,Nick Castle,Drama,13kYhTXvrBBHkGH9YnuH
The Fly,SLM Production Group,David Cronenberg,Drama,15f3Fd0CbAg8WjLhuKU5
Romero,Paulist Pictures,John Duigan,Biography,18nghpZj2ppkgAg5UbgS
Personal Services,British Screen Productions,Terry Jones,Comedy,1FkriBAuqATkvA3KUuKO
The Glass Menagerie,Cineplex-Odeon Films,Paul Newman,Drama,1GxE8YxrY5TSNOT86gcE
The Deceivers,Merchant Ivory Productions,Nicholas Meyer,Adventure,1HI0qGOr7YCcNrxgMo8F
Miles from Home,Braveworld Productions,Gary Sinise,Action,1Hbhsu9A9RhlOBIQ6clW
Little Dorrit,Sands,Christine Edzard,Drama,1LFNqgociN33rIKE20C3
Let It Ride,Paramount Pictures,Joe Pytka,Comedy,1MGqGh03rdW0ooZHrRL5
Luces de una gran ciudad,United Artists,James Bridges,Drama,1NrCuiCGnagdBkS2WOlU
Paperhouse,Working Title Films,Bernard Rose,Drama,1ROBmJvyriMyQPCD5Rhn
Pacific Heights,Morgan Creek Productions,John Schlesinger,Thriller,1RVCmoqYM1iymccjPCy3
Getting It Right,Management Company Entertainment Group (MCEG),Randal Kleiser,Comedy,1SbwThc0REIzjtxixeGk
RoboCop,Orion Pictures,Paul Verhoeven,Action,1eVtXj6e4uWbrPV7MVOo
Loverboy,Crescent Film Enterprises,Joan Micklin Silver,Comedy,1fKgyRawv4QQfuKfNO27
Dark Eyes,Excelsior Film-TV,Nikita Mikhalkov,Comedy,1jYqDXB2jIXMopcjcfyL
It Takes Two,United Artists,David Beaird,Comedy,1rvaaSoii07sMz9Ze7fq
Salome's Last Dance,Jolly Russell Productions,Ken Russell,Biography,22kfBVGgCm1hA8SCSDc7
Darkman,Renaissance Pictures,Sam Raimi,Action,246k4CBE776PX3gMWzWe
Uncle Buck,Universal Pictures,John Hughes,Comedy,25lYvA2YKZUuDoj5921f
The Blood of Heroes,Kings Road Entertainment,David Webb Peoples,Action,2BvwKhFL4SUHV7AO8ppQ
Miller's Crossing,Circle Films,Joel Coen,Crime,2CKyS8KFkXkvfN3H1ruM
Pretty Woman,Touchstone Pictures,Garry Marshall,Comedy,2GxGRKzDeF8l5d50ueTF
Weeds,De Laurentiis Entertainment Group (DEG),John D. Hancock,Drama,2JzaSCy8Ocswj1DGpVbF
Pumpkinhead,De Laurentiis Entertainment Group (DEG),Stan Winston,Fantasy,2KtdNCccvQcDBXT06vG6
Another Woman,Jack Rollins & Charles H. Joffe Productions,Woody Allen,Drama,2L18LsSDFU7FoGcIIa3o
Shag,Palace Pictures,Zelda Barron,Comedy,2LxIN44dynqQx6oQ0QUa
Funny Farm,Cornelius Productions,George Roy Hill,Comedy,2RLWZjXM9FG3rcTHkbDZ
Joe Versus the Volcano,Warner Bros.,John Patrick Shanley,Comedy,2ZNQr4R4yUIUYIZkkkMN
White Water Summer,Columbia Pictures Corporation,Jeff Bleckner,Adventure,2a2dI9zUuMaS3GBKKfDb
Nutcracker,Hyperion Pictures,Carroll Ballard,Family,2bFAOG1d4lHSgnt5IcG5
Prince of Darkness,Alive Films,John Carpenter,Horror,2dJMfLK2s0m9Nj4MZyjH
Tie Me Up! Tie Me Down!,"Deseo, El",Pedro Almodóvar,Comedy,2dtwjbmSt6LahiwcmKvp
"night, Mother",Aaron Spelling Productions,Tom Moore,Drama,2dxCxbVpLXLjJb0LyIxp
